Word,Japanese,Total,Years
implication,包含（含意）,7,"2017, 2019, 2020, 2021, 2022, 2023, 2025"
parentheses,かっこ,7,"2017, 2019, 2020, 2021, 2022, 2023, 2025"
transpose,転置,7,"2017, 2019, 2020, 2021, 2022, 2023, 2025"
diagonal matrix,対角行列,6,"2019, 2020, 2021, 2023, 2025"
fraction,分数,6,"2017, 2019, 2020, 2021, 2023"
negation,否定,6,"2017, 2019, 2020, 2021, 2023, 2025"
polynomial,多項式,6,"2019, 2021, 2022, 2023, 2025"
prediction,予測,6,"2017, 2020, 2021, 2023, 2025"
premise,前提,6,"2017, 2019, 2020, 2021, 2023, 2025"
standard deviation,標準偏差,6,"2017, 2019, 2020, 2023, 2025"
symmetric matrix,対称行列,6,"2017, 2019, 2022, 2023, 2025"
syntax,構文（シンタックス）,6,"2020, 2021, 2022, 2023, 2025"
unsupervised learning,教師なし学習,6,"2017, 2020, 2021, 2022, 2023, 2025"
arithmetic operations,四則演算,5,"2017, 2019, 2022, 2025"
assignment,代入（割り当て）,5,"2021, 2022, 2025"
axiom,公理,5,"2020, 2023, 2025"
classification,分類,5,"2021, 2023, 2025"
decimal point,小数点,5,"2019, 2021, 2023, 2025"
derivative,導関数（微分）,5,"2017, 2020, 2022, 2025"
differentiate,微分する,5,"2021, 2023, 2025"
eigenvector,固有ベクトル,5,"2017, 2020, 2022, 2023"
interpolation,補間,5,"2020, 2021, 2023, 2025"
inverse,逆（逆行列・逆の）,5,"2017, 2021, 2022, 2025"
marginal distribution,周辺分布,5,"2017, 2019, 2020, 2022"
quotient,商,5,"2017, 2020, 2021, 2023, 2025"
argument,引数（独立変数）,4,"2020, 2022, 2023"
assertion,断定（表明）,4,"2017, 2022, 2025"
complex number,複素数,4,"2021, 2023, 2025"
contradiction,矛盾,4,"2019, 2020, 2023"
existential quantifier,存在記号（存在量化子）,4,"2017, 2020, 2021, 2022"
extraction,抽出（開平・開立）,4,"2020, 2021, 2023"
finite,有限の,4,"2019, 2022, 2025"
implementation,実装,4,"2017, 2020, 2021"
mantissa,仮数,4,"2017, 2020, 2022, 2025"
precedence,優先順位,4,"2020, 2022, 2023, 2025"
roundoff error,丸め誤差,4,"2020, 2021, 2023"
significant digit,有効数字,4,"2020, 2021, 2022"
supervised learning,教師あり学習,4,"2021, 2023, 2025"
theorem,定理,4,"2017, 2019, 2020"
attribute,属性,3,"2020, 2021"
correlation,相関,3,"2017, 2022, 2023"
curse of dimensionality,次元の呪い,3,"2017, 2019, 2020"
declaration,宣言,3,"2017, 2021, 2022"
division,除算（割り算）,3,"2020, 2022, 2025"
eigenvalue,固有値,3,"2021, 2023"
equivalence relation,同値関係,3,"2020, 2022, 2023"
feature,特徴（特徴量）,3,"2017, 2021, 2022"
inner product,内積,3,"2017, 2021, 2023"
proposition,命題,3,"2017, 2020, 2022"
reciprocal,逆数,3,"2019, 2025"
triangular inequality,三角不等式,3,"2017, 2021, 2023"
variance,分散,3,"2019, 2020"
array,配列,2,"2017, 2021"
basis,基底,2,"2022, 2023"
covariance,共分散,2,"2017, 2023"
density function,密度関数,2,"2023, 2025"
detect,検出する,2,"2019, 2025"
empty set,空集合,2,"2021, 2025"
estimation,推定,2,"2017, 2025"
exclusive,排他的,2,"2019, 2022"
extension,拡張,2,"2017, 2019"
imaginary number,虚数,2,"2019, 2022"
inequality,不等式,2,"2019, 2020"
interaction,相互作用,2,"2019, 2022"
linear mapping,線形写像,2,"2019, 2023"
numerator,分子,2,"2017, 2021"
orthogonal matrix,直交行列,2,"2022, 2025"
predicate,述語,2,"2019, 2022"
principal component analysis,主成分分析,2,"2022, 2023"
rational number,有理数,2,"2020, 2022"
rule of inference,推論規則,2,"2019, 2023"
semantics,意味論,2,"2017, 2022"
square matrix,正方行列,2,"2017, 2023"
substitution,代入（置換）,2,"2020, 2021"
universal quantifier,全称記号（全称量化子）,2,"2019, 2022"
absolute error,絶対誤差,1,2023
complement form,補数形式,1,2019
degree of freedom,自由度,1,2017
descriptor,記述子,1,2021
determinant,行列式,1,2019
expectation,期待値,1,2025
joint distribution,同時分布,1,2023
normalization,正規化,1,2019
probability distribution,確率分布,1,2025
random variable,確率変数,1,2019
statement,文,1,2021
verify,検証する,1,2025
